CLK_REF_COUNTER, CPU0 COUNTER, CPU0 - Data Cache Refill, CPU0 - Data Cache Access, CPU0 - Data Stall, CPU0 - Write Stall, CPU0 - Instruction Rename, CPU0 - Branch Miss
1426552189844040000,83014652,2507882,2381733456,18291760,0,469626600,2859210
1426552189894040000,83521393,2523223,2396273866,18403307,0,498713087,2876660
1426552189944040000,84056235,2539532,2411621738,18521778,0,529415753,2895092
1426552189997040000,84607752,2555822,2427446964,18640501,0,561072015,2914079
1426552190047040000,85133050,2572309,2442520309,18759749,0,591225405,2932183
1426552190097040000,85653947,2587784,2457466702,18873620,0,621124259,2950119
1426552190147040000,86171972,2602920,2472331676,18984317,0,650859885,2967958
1426552190197040000,86694322,2618379,2487320535,19096475,0,680843441,2985946
1426552190247040000,87213755,2634424,2502226131,19212707,0,710661483,3003848
1426552190297040000,87734412,2649760,2517166568,19324074,0,740548105,3021777
1426552190349040000,88277522,2666128,2532749979,19443641,0,771720721,3040476
1426552190399040000,88795520,2682108,2547614441,19559808,0,801456565,3058329
1426552190449040000,89317802,2697632,2562600894,19673291,0,831435221,3076313
1426552190499040000,89822084,2713113,2577070123,19786463,0,860379343,3093679
1426552190549040000,90358246,2729083,2592454568,19903563,0,891154046,3112139
1426552190599040000,90877413,2745271,2607351923,20021525,0,920955669,3130032
1426552190649040000,91399699,2760735,2622338582,20134773,0,950934789,3148017
1426552190699040000,91928270,2776537,2637505319,20249901,0,981274063,3166217
1426552190749040000,92428820,2791555,2651868398,20358963,0,1010005819,3183456
1426552190799040000,92945288,2807669,2666688185,20476819,0,1039652321,3201256
1426552190849040000,93463502,2822703,2681558867,20586340,0,1069399431,3219101
1426552190899040000,93985615,2838087,2696540980,20698381,0,1099369430,3237080
1426552190951040000,94527504,2854980,2712089806,20821436,0,1130474019,3255753
1426552191001040000,95046727,2870456,2726988542,20934314,0,1160277235,3273632
1426552191053040000,95591025,2886794,2742605930,21054501,0,1191517822,3292371
1426552191103040000,96110578,2902798,2757514943,21170435,0,1221342845,3310278
1426552191153040000,96631525,2918290,2772463044,21283849,0,1251244735,3328215
1426552191203040000,97150853,2933754,2787364747,21396851,0,1281053885,3346099
1426552191253040000,97671733,2949278,2802311028,21510021,0,1310952199,3364035
1426552191303040000,98193772,2965388,2817291234,21627128,0,1340919489,3382028
1426552191355040000,98737004,2981286,2832879666,21742079,0,1372102167,3400731
1426552191405040000,99253663,2996936,2847704217,21856828,0,1401757043,3418522
1426552191455040000,99774513,3013115,2862649766,21975214,0,1431655055,3436472
1426552191505040000,100297852,3028794,2877666422,22089418,0,1461694093,3454493
1426552191555040000,100820017,3044211,2892649723,22202181,0,1491666470,3472473
1426552191605040000,101338269,3060601,2907520507,22321440,0,1521414913,3490334
1426552191655040000,101857732,3076144,2922425958,22434806,0,1551231537,3508222
1426552191719040000,102524407,3096212,2941554841,22581614,0,1589496543,3531176
1426552191769040000,103045251,3112309,2956500702,22698377,0,1619395189,3549126
1426552191819040000,103571559,3127600,2971603644,22809584,0,1649606840,3567250
1426552191869040000,104103278,3143210,2986861253,22923666,0,1680127817,3585559
1426552191919040000,104627054,3159707,3001890554,23043645,0,1710193397,3603610
1426552191979040000,105251109,3178158,3019798181,23177682,0,1746015770,3625103
1426552192029040000,105775852,3193855,3034854865,23292650,0,1776134866,3643171
1426552192079040000,106301078,3209468,3049925902,23406250,0,1806282718,3661257
1426552192129040000,106816458,3225771,3064714162,23524796,0,1835866172,3679019
1426552192179040000,107334017,3241015,3079565750,23635511,0,1865575159,3696842
1426552192229040000,107858986,3256654,3094629298,23749259,0,1895708009,3714919
1426552192279040000,108382357,3272376,3109646845,23863921,0,1925748761,3732940
1426552192342040000,109033105,3292217,3128320399,24008364,0,1963104269,3755365
1426552192392040000,109558485,3307908,3143395890,24122460,0,1993260973,3773455
1426552192442040000,110074145,3323544,3158192029,24236228,0,2022858981,3791212
1426552192492040000,110581919,3339034,3172763510,24348286,0,2052009165,3808715
1426552192542040000,111118702,3355442,3188164867,24468785,0,2082817297,3827195
1426552192592040000,111638908,3370804,3203091832,24581315,0,2112677022,3845108
1426552192652040000,112261332,3389686,3220951579,24718949,0,2148403648,3866545
1426552192702040000,112788475,3406048,3236077799,24838266,0,2178662940,3884710
1426552192752040000,113314557,3421712,3251173280,24952632,0,2208859728,3902826
1426552192802040000,113828840,3437146,3265930119,25065137,0,2238379142,3920535
1426552192852040000,114344220,3452451,3280718635,25177346,0,2267961902,3938282
1426552192902040000,114869208,3468701,3295782991,25296405,0,2298097554,3956375
1426552192952040000,115387304,3484139,3310649507,25408803,0,2327836306,3974216
1426552193002040000,115912162,3499657,3325710351,25521614,0,2357963748,3992289
1426552193052040000,116434370,3516124,3340694858,25640600,0,2387939744,4010287
1426552193102040000,116947958,3531183,3355432369,25750901,0,2417420546,4027974
1426552193152040000,117473121,3547232,3370500581,25868399,0,2447562635,4046056
1426552193202040000,117992290,3562662,3385397860,25980927,0,2477363033,4063933
1426552193252040000,118503594,3578699,3400069489,26097849,0,2506713099,4081556
1426552193302040000,119018971,3594111,3414857613,26210748,0,2536295101,4099303
1426552193355040000,119586844,3611045,3431151536,26334683,0,2568888784,4118851
1426552193405040000,120109906,3627285,3446160947,26452491,0,2598914523,4136877
1426552193455040000,120629394,3642760,3461067382,26565170,0,2628733207,4154767
1426552193505040000,121150294,3658352,3476013929,26679221,0,2658631987,4172702
1426552193555040000,121659775,3673770,3490632439,26792612,0,2687874741,4190247
1426552193605040000,122175172,3689761,3505421867,26909308,0,2717460501,4208011
1426552193655040000,122694895,3705499,3520334563,27023841,0,2747291651,4225907
1426552193705040000,123219422,3721276,3535385002,27138973,0,2777398297,4243968
1426552193755040000,123737560,3736996,3550254091,27252640,0,2807143342,4261827
1426552193805040000,124259675,3752266,3565236309,27364100,0,2837113634,4279807
1426552193868040000,124927566,3773890,3584216099,27525734,0,2874441904,4301834
1426552193918040000,125435454,3788470,3598432776,27652873,0,2901268803,4316795
1426552193968040000,125953666,3805732,3612907134,27795318,0,2928657677,4332085
1426552194018040000,126473347,3823056,3627422879,27938611,0,2956123743,4347416
1426552194068040000,126996653,3837922,3642073551,28069269,0,2983762744,4362829
1426552194118040000,127518872,3855248,3656660936,28212321,0,3011363110,4378236
1426552194168040000,128039621,3870008,3671239932,28342116,0,3038867503,4393573
1426552194218040000,128560434,3887153,3685788227,28483486,0,3066394731,4408940
1426552194268040000,129082511,3902167,3700403296,28616795,0,3093966698,4424315
1426552194318040000,129603259,3919341,3714949523,28758801,0,3121490190,4439679
1426552194370040000,130143345,3936825,3730111324,28903417,0,3150164783,4455683
1426552194420040000,130677450,3951868,3744996689,29035765,0,3178242199,4471338
1426552194470040000,131183976,3968857,3759142502,29174283,0,3205016787,4486287
1426552194520040000,131717147,3983889,3774071223,29307520,0,3233175289,4501987
1426552194570040000,132241162,4001235,3788708662,29451878,0,3260869256,4517447
1426552194623040000,132936782,4023567,3808149770,29639925,0,3297626671,4537960
1426552194680040000,133377655,4037332,3820476027,29758431,0,3320918331,4550955
1426552194740040000,134011828,4056181,3838218956,29921297,0,3354419729,4569643
1426552194790040000,134541780,4073690,3853024213,30065899,0,3382427604,4585276
1426552194861040000,135271118,4095735,3873425610,30252663,0,3420965269,4606779
1426552194911040000,135791900,4111233,3887995780,30389584,0,3448468740,4622116
1426552194961040000,136315138,4128467,3902612564,30531266,0,3476124137,4637553
1426552195011040000,136842855,4143347,3917388038,30662149,0,3503996076,4653095
1426552195061040000,137359302,4160493,3931812927,30803644,0,3531292546,4668333
1426552195121040000,138006413,4179432,3949921583,30966603,0,3565477983,4687400
1426552195171040000,138501311,4196217,3963739656,31102872,0,3591639699,4702008
1426552195221040000,139007986,4211032,3977920478,31233819,0,3618399563,4716931
1426552195271040000,139538439,4228399,3992740168,31377575,0,3646434349,4732579
1426552195321040000,140063484,4243357,4007439815,31509243,0,3674164427,4748042
1426552195371040000,140583106,4260736,4021953041,31654041,0,3701626139,4763373
1426552195421040000,141107776,4275561,4036643026,31783924,0,3729338207,4778825
